Tournament,Date,Series,Surface,Round,Winner,Loser
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,The Final,Holger Rune,Novak Djokovic
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Semifinals,Novak Djokovic,Stefanos Tsitsipas
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Semifinals,Holger Rune,Felix Auger-Aliassime
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Quarterfinals,Holger Rune,Carlos Alcaraz
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Quarterfinals,Stefanos Tsitsipas,Tommy Paul
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Quarterfinals,Novak Djokovic,Lorenzo Musetti
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Quarterfinals,Felix Auger-Aliassime,Frances Tiafoe
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Carlos Alcaraz,Grigor Dimitrov
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Lorenzo Musetti,Casper Ruud
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Novak Djokovic,Karen Khachanov
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Holger Rune,Andrey Rublev
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Tommy Paul,Pablo Carreno Busta
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Frances Tiafoe,Alex de Minaur
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Tommy Paul,Rafael Nadal
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Alex de Minaur,Daniil Medvedev
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Stefanos Tsitsipas,Daniel Evans
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Holger Rune,Hubert Hurkacz
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Pablo Carreno Busta,Denis Shapovalov
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Taylor Fritz,Alejandro Davidovich Fokina
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Cameron Norrie,Miomir Kecmanovic
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Lorenzo Musetti,Marin Cilic
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Tommy Paul,Roberto Bautista Agut
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Denis Shapovalov,Francisco Cerundolo
US Open,2022-08-29,Grand Slam,Hard,The Final,Carlos Alcaraz,Casper Ruud
US Open,2022-08-29,Grand Slam,Hard,Semifinals,Carlos Alcaraz,Frances Tiafoe
US Open,2022-08-29,Grand Slam,Hard,Semifinals,Casper Ruud,Karen Khachanov
US Open,2022-08-29,Grand Slam,Hard,Quarterfinals,Carlos Alcaraz,Jannik Sinner
US Open,2022-08-29,Grand Slam,Hard,Quarterfinals,Casper Ruud,Matteo Berrettini
US Open,2022-08-29,Grand Slam,Hard,Quarterfinals,Frances Tiafoe,Andrey Rublev
US Open,2022-08-29,Grand Slam,Hard,Quarterfinals,Karen Khachanov,Nick Kyrgios
US Open,2022-08-29,Grand Slam,Hard,4th Round,Nick Kyrgios,Daniil Medvedev
US Open,2022-08-29,Grand Slam,Hard,4th Round,Frances Tiafoe,Rafael Nadal
US Open,2022-08-29,Grand Slam,Hard,4th Round,Carlos Alcaraz,Marin Cilic
US Open,2022-08-29,Grand Slam,Hard,4th Round,Andrey Rublev,Cameron Norrie
US Open,2022-08-29,Grand Slam,Hard,4th Round,Karen Khachanov,Pablo Carreno Busta
US Open,2022-08-29,Grand Slam,Hard,4th Round,Matteo Berrettini,Alejandro Davidovich Fokina
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Casper Ruud,Tommy Paul
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Cameron Norrie,Holger Rune
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Andrey Rublev,Denis Shapovalov
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Pablo Carreno Busta,Alex de Minaur
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Frances Tiafoe,Diego Schwartzman
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,The Final,Borna Coric,Stefanos Tsitsipas
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Semifinals,Stefanos Tsitsipas,Daniil Medvedev
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Semifinals,Borna Coric,Cameron Norrie
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Quarterfinals,Daniil Medvedev,Taylor Fritz
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Quarterfinals,Cameron Norrie,Carlos Alcaraz
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Quarterfinals,Borna Coric,Felix Auger-Aliassime
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Daniil Medvedev,Denis Shapovalov
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Carlos Alcaraz,Marin Cilic
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Stefanos Tsitsipas,Diego Schwartzman
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Taylor Fritz,Andrey Rublev
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Felix Auger-Aliassime,Jannik Sinner
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Borna Coric,Roberto Bautista Agut
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Borna Coric,Rafael Nadal
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Felix Auger-Aliassime,Alex de Minaur
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Jannik Sinner,Miomir Kecmanovic
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Taylor Fritz,Nick Kyrgios
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Denis Shapovalov,Tommy Paul
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Cameron Norrie,Holger Rune
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Frances Tiafoe,Matteo Berrettini
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Roberto Bautista Agut,Francisco Cerundolo
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Denis Shapovalov,Grigor Dimitrov
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Borna Coric,Lorenzo Musetti
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Miomir Kecmanovic,Pablo Carreno Busta
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Nick Kyrgios,Alejandro Davidovich Fokina
Rogers Masters,2022-08-08,Masters 1000,Hard,The Final,Pablo Carreno Busta,Hubert Hurkacz
Rogers Masters,2022-08-08,Masters 1000,Hard,Semifinals,Hubert Hurkacz,Casper Ruud
Rogers Masters,2022-08-08,Masters 1000,Hard,Semifinals,Pablo Carreno Busta,Daniel Evans
Rogers Masters,2022-08-08,Masters 1000,Hard,Quarterfinals,Casper Ruud,Felix Auger-Aliassime
Rogers Masters,2022-08-08,Masters 1000,Hard,Quarterfinals,Hubert Hurkacz,Nick Kyrgios
Rogers Masters,2022-08-08,Masters 1000,Hard,Quarterfinals,Daniel Evans,Tommy Paul
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Casper Ruud,Roberto Bautista Agut
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Felix Auger-Aliassime,Cameron Norrie
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Pablo Carreno Busta,Jannik Sinner
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Daniel Evans,Taylor Fritz
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Tommy Paul,Marin Cilic
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Nick Kyrgios,Alex de Minaur
Rogers Masters,2022-08-08,Masters 1000,Hard,3rd Round,Nick Kyrgios,Daniil Medvedev
Rogers Masters,2022-08-08,Masters 1000,Hard,3rd Round,Tommy Paul,Carlos Alcaraz
Rogers Masters,2022-08-08,Masters 1000,Hard,3rd Round,Daniel Evans,Andrey Rublev
Rogers Masters,2022-08-08,Masters 1000,Hard,3rd Round,Taylor Fritz,Frances Tiafoe
Rogers Masters,2022-08-08,Masters 1000,Hard,3rd Round,Marin Cilic,Karen Khachanov
Rogers Masters,2022-08-08,Masters 1000,Hard,3rd Round,Alex de Minaur,Grigor Dimitrov
Rogers Masters,2022-08-08,Masters 1000,Hard,3rd Round,Pablo Carreno Busta,Holger Rune
Rogers Masters,2022-08-08,Masters 1000,Hard,2nd Round,Pablo Carreno Busta,Matteo Berrettini
Rogers Masters,2022-08-08,Masters 1000,Hard,2nd Round,Diego Schwartzman,Alejandro Davidovich Fokina
Rogers Masters,2022-08-08,Masters 1000,Hard,2nd Round,Marin Cilic,Borna Coric
Rogers Masters,2022-08-08,Masters 1000,Hard,2nd Round,Alex de Minaur,Denis Shapovalov
Rogers Masters,2022-08-08,Masters 1000,Hard,2nd Round,Karen Khachanov,Francisco Cerundolo
Wimbledon,2022-06-27,Grand Slam,Grass,The Final,Novak Djokovic,Nick Kyrgios
Wimbledon,2022-06-27,Grand Slam,Grass,Semifinals,Novak Djokovic,Cameron Norrie
Wimbledon,2022-06-27,Grand Slam,Grass,Semifinals,Nick Kyrgios,Rafael Nadal
Wimbledon,2022-06-27,Grand Slam,Grass,Quarterfinals,Novak Djokovic,Jannik Sinner
Wimbledon,2022-06-27,Grand Slam,Grass,Quarterfinals,Rafael Nadal,Taylor Fritz
Wimbledon,2022-06-27,Grand Slam,Grass,4th Round,Jannik Sinner,Carlos Alcaraz
Wimbledon,2022-06-27,Grand Slam,Grass,4th Round,Cameron Norrie,Tommy Paul
Wimbledon,2022-06-27,Grand Slam,Grass,3rd Round,Novak Djokovic,Miomir Kecmanovic
Wimbledon,2022-06-27,Grand Slam,Grass,3rd Round,Nick Kyrgios,Stefanos Tsitsipas
Wimbledon,2022-06-27,Grand Slam,Grass,1st Round,Rafael Nadal,Francisco Cerundolo
Wimbledon,2022-06-27,Grand Slam,Grass,1st Round,Alejandro Davidovich Fokina,Hubert Hurkacz
Wimbledon,2022-06-27,Grand Slam,Grass,1st Round,Taylor Fritz,Lorenzo Musetti
French Open,2022-05-22,Grand Slam,Clay,The Final,Rafael Nadal,Casper Ruud
French Open,2022-05-22,Grand Slam,Clay,Semifinals,Rafael Nadal,Alexander Zverev
French Open,2022-05-22,Grand Slam,Clay,Semifinals,Casper Ruud,Marin Cilic
French Open,2022-05-22,Grand Slam,Clay,Quarterfinals,Rafael Nadal,Novak Djokovic
French Open,2022-05-22,Grand Slam,Clay,Quarterfinals,Alexander Zverev,Carlos Alcaraz
French Open,2022-05-22,Grand Slam,Clay,Quarterfinals,Marin Cilic,Andrey Rublev
French Open,2022-05-22,Grand Slam,Clay,Quarterfinals,Casper Ruud,Holger Rune
French Open,2022-05-22,Grand Slam,Clay,4th Round,Novak Djokovic,Diego Schwartzman
French Open,2022-05-22,Grand Slam,Clay,4th Round,Marin Cilic,Daniil Medvedev
French Open,2022-05-22,Grand Slam,Clay,4th Round,Holger Rune,Stefanos Tsitsipas
French Open,2022-05-22,Grand Slam,Clay,4th Round,Rafael Nadal,Felix Auger-Aliassime
French Open,2022-05-22,Grand Slam,Clay,4th Round,Carlos Alcaraz,Karen Khachanov
French Open,2022-05-22,Grand Slam,Clay,4th Round,Andrey Rublev,Jannik Sinner
French Open,2022-05-22,Grand Slam,Clay,4th Round,Casper Ruud,Hubert Hurkacz
French Open,2022-05-22,Grand Slam,Clay,3rd Round,Daniil Medvedev,Miomir Kecmanovic
French Open,2022-05-22,Grand Slam,Clay,3rd Round,Karen Khachanov,Cameron Norrie
French Open,2022-05-22,Grand Slam,Clay,3rd Round,Diego Schwartzman,Grigor Dimitrov
French Open,2022-05-22,Grand Slam,Clay,2nd Round,Grigor Dimitrov,Borna Coric
French Open,2022-05-22,Grand Slam,Clay,1st Round,Stefanos Tsitsipas,Lorenzo Musetti
French Open,2022-05-22,Grand Slam,Clay,1st Round,Holger Rune,Denis Shapovalov
French Open,2022-05-22,Grand Slam,Clay,1st Round,Daniel Evans,Francisco Cerundolo
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,The Final,Novak Djokovic,Stefanos Tsitsipas
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,Semifinals,Novak Djokovic,Casper Ruud
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,Semifinals,Stefanos Tsitsipas,Alexander Zverev
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,Quarterfinals,Novak Djokovic,Felix Auger-Aliassime
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,Quarterfinals,Stefanos Tsitsipas,Jannik Sinner
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,Quarterfinals,Casper Ruud,Denis Shapovalov
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,4th Round,Alexander Zverev,Alex de Minaur
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,4th Round,Denis Shapovalov,Rafael Nadal
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,4th Round,Stefanos Tsitsipas,Karen Khachanov
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,3rd Round,Stefanos Tsitsipas,Grigor Dimitrov
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,3rd Round,Felix Auger-Aliassime,Alejandro Davidovich Fokina
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,3rd Round,Marin Cilic,Cameron Norrie
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,3rd Round,Karen Khachanov,Pablo Carreno Busta
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,3rd Round,Alex de Minaur,Tommy Paul
Internazionali BNL d'Italia,2022-05-08,Masters 1000,Clay,2nd Round,Diego Schwartzman,Miomir Kecmanovic
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,The Final,Carlos Alcaraz,Alexander Zverev
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,Semifinals,Carlos Alcaraz,Novak Djokovic
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,Semifinals,Alexander Zverev,Stefanos Tsitsipas
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,Quarterfinals,Novak Djokovic,Hubert Hurkacz
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,Quarterfinals,Alexander Zverev,Felix Auger-Aliassime
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,Quarterfinals,Carlos Alcaraz,Rafael Nadal
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,Quarterfinals,Stefanos Tsitsipas,Andrey Rublev
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,4th Round,Alexander Zverev,Lorenzo Musetti
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,4th Round,Stefanos Tsitsipas,Grigor Dimitrov
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,4th Round,Andrey Rublev,Daniel Evans
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,4th Round,Carlos Alcaraz,Cameron Norrie
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,4th Round,Felix Auger-Aliassime,Jannik Sinner
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,3rd Round,Alexander Zverev,Marin Cilic
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,3rd Round,Rafael Nadal,Miomir Kecmanovic
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,3rd Round,Jannik Sinner,Alex de Minaur
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,3rd Round,Hubert Hurkacz,Alejandro Davidovich Fokina
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,3rd Round,Grigor Dimitrov,Diego Schwartzman
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,3rd Round,Daniel Evans,Roberto Bautista Agut
Mutua Madrid Open,2022-05-01,Masters 1000,Clay,2nd Round,Jannik Sinner,Tommy Paul
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,The Final,Stefanos Tsitsipas,Alejandro Davidovich Fokina
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,Semifinals,Stefanos Tsitsipas,Alexander Zverev
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,Semifinals,Alejandro Davidovich Fokina,Grigor Dimitrov
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,Quarterfinals,Alexander Zverev,Jannik Sinner
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,Quarterfinals,Stefanos Tsitsipas,Diego Schwartzman
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,Quarterfinals,Alejandro Davidovich Fokina,Taylor Fritz
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,Quarterfinals,Grigor Dimitrov,Hubert Hurkacz
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,4th Round,Alexander Zverev,Pablo Carreno Busta
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,4th Round,Grigor Dimitrov,Casper Ruud
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,4th Round,Jannik Sinner,Andrey Rublev
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,4th Round,Diego Schwartzman,Lorenzo Musetti
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,3rd Round,Alejandro Davidovich Fokina,Novak Djokovic
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,3rd Round,Casper Ruud,Holger Rune
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,3rd Round,Andrey Rublev,Alex de Minaur
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,3rd Round,Lorenzo Musetti,Felix Auger-Aliassime
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,3rd Round,Taylor Fritz,Marin Cilic
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,2nd Round,Jannik Sinner,Borna Coric
Monte Carlo Masters,2022-04-10,Masters 1000,Clay,2nd Round,Diego Schwartzman,Karen Khachanov
Miami Open,2022-03-23,Masters 1000,Hard,The Final,Carlos Alcaraz,Casper Ruud
Miami Open,2022-03-23,Masters 1000,Hard,Semifinals,Casper Ruud,Francisco Cerundolo
Miami Open,2022-03-23,Masters 1000,Hard,Semifinals,Carlos Alcaraz,Hubert Hurkacz
Miami Open,2022-03-23,Masters 1000,Hard,Quarterfinals,Hubert Hurkacz,Daniil Medvedev
Miami Open,2022-03-23,Masters 1000,Hard,Quarterfinals,Casper Ruud,Alexander Zverev
Miami Open,2022-03-23,Masters 1000,Hard,Quarterfinals,Francisco Cerundolo,Jannik Sinner
Miami Open,2022-03-23,Masters 1000,Hard,Quarterfinals,Carlos Alcaraz,Miomir Kecmanovic
Miami Open,2022-03-23,Masters 1000,Hard,4th Round,Carlos Alcaraz,Stefanos Tsitsipas
Miami Open,2022-03-23,Masters 1000,Hard,4th Round,Casper Ruud,Cameron Norrie
Miami Open,2022-03-23,Masters 1000,Hard,4th Round,Jannik Sinner,Nick Kyrgios
Miami Open,2022-03-23,Masters 1000,Hard,4th Round,Miomir Kecmanovic,Taylor Fritz
Miami Open,2022-03-23,Masters 1000,Hard,4th Round,Francisco Cerundolo,Frances Tiafoe
Miami Open,2022-03-23,Masters 1000,Hard,3rd Round,Stefanos Tsitsipas,Alex de Minaur
Miami Open,2022-03-23,Masters 1000,Hard,3rd Round,Jannik Sinner,Pablo Carreno Busta
Miami Open,2022-03-23,Masters 1000,Hard,3rd Round,Taylor Fritz,Tommy Paul
Miami Open,2022-03-23,Masters 1000,Hard,3rd Round,Carlos Alcaraz,Marin Cilic
Miami Open,2022-03-23,Masters 1000,Hard,2nd Round,Alexander Zverev,Borna Coric
Miami Open,2022-03-23,Masters 1000,Hard,2nd Round,Nick Kyrgios,Andrey Rublev
Miami Open,2022-03-23,Masters 1000,Hard,2nd Round,Miomir Kecmanovic,Felix Auger-Aliassime
Miami Open,2022-03-23,Masters 1000,Hard,2nd Round,Tommy Paul,Karen Khachanov
BNP Paribas Open,2022-03-10,Masters 1000,Hard,The Final,Taylor Fritz,Rafael Nadal
BNP Paribas Open,2022-03-10,Masters 1000,Hard,Semifinals,Rafael Nadal,Carlos Alcaraz
BNP Paribas Open,2022-03-10,Masters 1000,Hard,Semifinals,Taylor Fritz,Andrey Rublev
BNP Paribas Open,2022-03-10,Masters 1000,Hard,Quarterfinals,Rafael Nadal,Nick Kyrgios
BNP Paribas Open,2022-03-10,Masters 1000,Hard,Quarterfinals,Andrey Rublev,Grigor Dimitrov
BNP Paribas Open,2022-03-10,Masters 1000,Hard,Quarterfinals,Carlos Alcaraz,Cameron Norrie
BNP Paribas Open,2022-03-10,Masters 1000,Hard,Quarterfinals,Taylor Fritz,Miomir Kecmanovic
BNP Paribas Open,2022-03-10,Masters 1000,Hard,4th Round,Miomir Kecmanovic,Matteo Berrettini
BNP Paribas Open,2022-03-10,Masters 1000,Hard,4th Round,Andrey Rublev,Hubert Hurkacz
BNP Paribas Open,2022-03-10,Masters 1000,Hard,4th Round,Nick Kyrgios,Jannik Sinner
