Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct,A̱o,Superficie
Rafael Nadal,180.6,38.9,57.7,39.6,44.4,2022,Clay
Lorenzo Musetti,177.5,35.0,52.6,33.1,56.8,2022,Clay
Diego Schwartzman,173.0,39.0,53.3,36.4,44.3,2022,Clay
Miomir Kecmanovic,172.2,36.7,55.8,35.8,43.9,2022,Clay
Daniil Medvedev,171.9,34.6,55.7,33.9,47.7,2022,Clay
Alex de Minaur,170.6,35.4,56.8,35.1,43.3,2022,Clay
Jannik Sinner,166.2,34.0,55.9,31.9,44.4,2022,Clay
Francisco Cerundolo,166.1,36.8,52.7,34.0,42.6,2022,Clay
Stefanos Tsitsipas,164.8,33.6,54.0,28.8,48.4,2022,Clay
Novak Djokovic,163.4,35.3,55.5,31.1,41.5,2022,Clay
Carlos Alcaraz,162.8,35.4,53.9,32.6,40.9,2022,Clay
Alejandro Davidovich Fokina,161.7,37.8,49.8,33.9,40.2,2022,Clay
Roberto Bautista Agut,159.3,33.1,53.9,30.9,41.4,2022,Clay
Grigor Dimitrov,158.6,35.9,49.5,30.2,43.0,2022,Clay
Marin Cilic,158.2,34.7,50.4,28.7,44.4,2022,Clay
Taylor Fritz,158.1,31.3,55.9,28.7,42.2,2022,Clay
Alexander Zverev,157.0,34.1,50.7,27.1,45.1,2022,Clay
Cameron Norrie,155.9,35.2,50.9,28.9,40.9,2022,Clay
Felix Auger-Aliassime,152.9,35.0,50.2,27.6,40.1,2022,Clay
Daniel Evans,152.1,31.0,51.9,25.2,44.0,2022,Clay
Holger Rune,151.1,33.8,49.3,27.2,40.8,2022,Clay
Pablo Carreno Busta,147.4,33.4,48.4,26.4,39.2,2022,Clay
Andrey Rublev,146.6,34.0,49.0,23.8,39.8,2022,Clay
Frances Tiafoe,141.7,31.2,49.0,22.2,39.3,2022,Clay
Hubert Hurkacz,141.6,31.6,46.1,22.4,41.5,2022,Clay
Casper Ruud,141.1,31.5,51.4,23.5,34.7,2022,Clay
Karen Khachanov,140.9,31.3,47.0,19.9,42.7,2022,Clay
Matteo Berrettini,132.1,31.7,37.5,20.0,42.9,2022,Clay
Tommy Paul,126.8,28.7,45.3,18.9,33.9,2022,Clay
Nick Kyrgios,118.2,26.8,43.8,17.6,30.0,2022,Clay
Borna Coric,113.5,27.0,46.1,14.0,26.4,2022,Clay
Denis Shapovalov,109.9,28.9,39.8,10.6,30.6,2022,Clay
Carlos Alcaraz,162.4,34.0,54.0,31.8,42.6,2022,Hard
Novak Djokovic,158.8,31.4,55.8,26.3,45.3,2022,Hard
Rafael Nadal,155.8,32.2,52.8,27.9,42.9,2022,Hard
Alex de Minaur,155.0,31.5,51.9,26.9,44.7,2022,Hard
Cameron Norrie,154.5,29.5,53.6,26.0,45.4,2022,Hard
Daniil Medvedev,153.9,31.9,53.9,26.9,41.2,2022,Hard
Jannik Sinner,151.6,32.1,52.4,25.6,41.5,2022,Hard
Daniel Evans,150.5,30.4,51.6,25.4,43.1,2022,Hard
Alexander Zverev,150.5,30.9,49.2,24.9,45.5,2022,Hard
Diego Schwartzman,148.8,30.3,54.0,25.5,39.0,2022,Hard
Tommy Paul,148.6,32.0,50.9,25.8,39.9,2022,Hard
Roberto Bautista Agut,147.1,29.2,54.4,25.5,38.0,2022,Hard
Nick Kyrgios,147.0,28.6,48.9,22.4,47.1,2022,Hard
Pablo Carreno Busta,146.9,28.7,53.5,24.3,40.4,2022,Hard
Francisco Cerundolo,143.9,28.3,51.3,21.0,43.3,2022,Hard
Andrey Rublev,143.6,28.1,52.6,23.5,39.4,2022,Hard
Holger Rune,142.7,27.2,52.8,20.7,42.0,2022,Hard
Miomir Kecmanovic,142.3,28.0,52.3,21.4,40.6,2022,Hard
Alejandro Davidovich Fokina,140.7,29.1,50.0,22.2,39.4,2022,Hard
Taylor Fritz,139.6,30.5,50.4,23.6,35.1,2022,Hard
Casper Ruud,139.5,27.2,49.2,22.2,40.9,2022,Hard
Karen Khachanov,137.9,27.5,49.1,20.2,41.1,2022,Hard
Lorenzo Musetti,136.4,28.2,48.9,19.5,39.8,2022,Hard
Marin Cilic,135.5,29.1,50.2,20.8,35.4,2022,Hard
Felix Auger-Aliassime,134.8,30.2,48.2,20.4,36.0,2022,Hard
Denis Shapovalov,133.9,28.1,48.6,20.0,37.2,2022,Hard
Stefanos Tsitsipas,133.0,27.0,48.3,18.8,38.9,2022,Hard
Grigor Dimitrov,132.6,28.1,49.7,18.8,36.0,2022,Hard
Frances Tiafoe,131.4,25.4,50.7,17.6,37.7,2022,Hard
Hubert Hurkacz,129.4,26.1,48.7,17.4,37.2,2022,Hard
Borna Coric,128.9,25.7,50.2,16.9,36.1,2022,Hard
Matteo Berrettini,127.0,27.3,45.1,16.7,37.9,2022,Hard
Alejandro Davidovich Fokina,161.5,28.6,49.1,26.7,57.1,2022,Grass
Roberto Bautista Agut,155.0,28.2,58.6,27.4,40.8,2022,Grass
Francisco Cerundolo,151.7,31.5,54.7,27.0,38.5,2022,Grass
Daniil Medvedev,150.8,28.8,52.4,21.6,48.0,2022,Grass
Marin Cilic,136.4,29.2,47.7,17.4,42.1,2022,Grass
Alex de Minaur,135.4,33.8,46.9,20.7,34.0,2022,Grass
Felix Auger-Aliassime,134.4,29.9,42.0,14.4,48.1,2022,Grass
Karen Khachanov,131.9,24.6,52.0,20.5,34.8,2022,Grass
Taylor Fritz,131.5,21.3,54.4,15.1,40.7,2022,Grass
Matteo Berrettini,131.1,31.5,46.6,21.1,31.9,2022,Grass
Grigor Dimitrov,130.4,20.0,50.0,16.0,44.4,2022,Grass
Tommy Paul,127.7,25.9,46.3,17.4,38.1,2022,Grass
Casper Ruud,123.6,22.0,43.3,8.3,50.0,2022,Grass
Stefanos Tsitsipas,122.5,23.3,46.8,16.0,36.4,2022,Grass
Nick Kyrgios,117.4,22.2,45.3,13.3,36.6,2022,Grass
Diego Schwartzman,117.4,23.7,50.9,9.5,33.3,2022,Grass
Andrey Rublev,115.6,18.9,45.2,18.2,33.3,2022,Grass
Frances Tiafoe,109.6,12.5,54.2,12.1,30.8,2022,Grass
Denis Shapovalov,106.5,20.9,56.8,11.4,17.4,2022,Grass
Cameron Norrie,104.1,24.8,47.1,11.1,21.1,2022,Grass
Hubert Hurkacz,103.2,22.2,45.9,10.1,25.0,2022,Grass
Pablo Carreno Busta,101.6,21.1,55.3,9.8,15.4,2022,Grass
Holger Rune,98.9,29.3,33.3,7.7,28.6,2022,Grass
Daniel Evans,98.6,23.8,47.8,10.3,16.7,2022,Grass
Jannik Sinner,90.1,18.9,47.4,7.1,16.7,2022,Grass
Miomir Kecmanovic,84.7,19.1,50.0,4.5,11.1,2022,Grass
Lorenzo Musetti,52.5,16.1,36.4,0.0,0.0,2022,Grass
Novak Djokovic,181.1,41.2,55.4,40.4,44.1,2021,Clay
Diego Schwartzman,179.4,38.8,52.6,37.0,51.0,2021,Clay
Rafael Nadal,177.5,35.9,58.4,38.8,44.4,2021,Clay
Carlos Alcaraz,174.0,38.2,51.3,37.1,47.4,2021,Clay
Alexander Zverev,171.3,36.7,54.3,34.1,46.2,2021,Clay
Casper Ruud,168.8,32.6,57.5,32.1,46.6,2021,Clay
Stefanos Tsitsipas,161.7,32.6,54.4,29.8,44.9,2021,Clay
Jannik Sinner,161.2,34.1,51.0,29.4,46.7,2021,Clay
Daniel Evans,159.8,35.8,48.8,28.4,46.8,2021,Clay
Roberto Bautista Agut,159.6,31.4,52.2,27.0,49.0,2021,Clay
Cameron Norrie,157.9,31.6,52.0,27.4,46.9,2021,Clay
Pablo Carreno Busta,157.9,31.2,54.6,27.7,44.4,2021,Clay
Karen Khachanov,155.3,30.8,51.0,27.3,46.2,2021,Clay
Andrey Rublev,155.2,32.4,51.6,26.2,45.0,2021,Clay
Daniil Medvedev,153.7,35.0,50.2,28.7,39.8,2021,Clay
Denis Shapovalov,152.8,34.4,47.6,27.5,43.3,2021,Clay
Alejandro Davidovich Fokina,150.7,34.1,50.4,27.2,39.0,2021,Clay
Taylor Fritz,150.6,32.4,50.7,27.0,40.5,2021,Clay
Holger Rune,150.1,29.5,53.3,26.1,41.2,2021,Clay
Lorenzo Musetti,149.9,30.7,54.9,25.2,39.1,2021,Clay
Alex de Minaur,148.9,33.7,51.0,26.2,38.0,2021,Clay
Francisco Cerundolo,148.8,36.9,47.5,25.5,38.9,2021,Clay
Frances Tiafoe,142.2,30.5,48.9,22.8,40.0,2021,Clay
Matteo Berrettini,141.6,31.9,48.4,22.3,39.0,2021,Clay
Felix Auger-Aliassime,141.3,32.2,49.8,23.9,35.4,2021,Clay
Miomir Kecmanovic,140.8,31.9,49.0,23.0,36.9,2021,Clay
Grigor Dimitrov,138.6,31.8,47.1,20.9,38.8,2021,Clay
Tommy Paul,137.8,29.2,47.5,20.7,40.4,2021,Clay
Marin Cilic,132.0,28.7,49.4,21.0,32.9,2021,Clay
Hubert Hurkacz,105.2,25.5,40.4,10.1,29.2,2021,Clay
Novak Djokovic,168.9,33.0,55.1,32.3,48.5,2021,Hard
Daniil Medvedev,168.2,33.9,55.7,31.4,47.2,2021,Hard
Diego Schwartzman,164.7,33.5,56.2,32.2,42.8,2021,Hard
Cameron Norrie,158.9,32.4,53.3,29.0,44.2,2021,Hard
Rafael Nadal,156.0,30.3,54.2,28.0,43.5,2021,Hard
Andrey Rublev,155.4,30.2,55.4,26.6,43.2,2021,Hard
Grigor Dimitrov,154.6,31.5,52.5,27.5,43.1,2021,Hard
Carlos Alcaraz,152.4,31.0,52.8,27.4,41.2,2021,Hard
Jannik Sinner,150.7,30.8,52.5,25.1,42.3,2021,Hard
Roberto Bautista Agut,150.6,28.1,55.6,24.9,42.0,2021,Hard
Alex de Minaur,150.3,32.5,48.8,25.9,43.1,2021,Hard
Alexander Zverev,146.6,28.9,54.1,24.9,38.7,2021,Hard
Stefanos Tsitsipas,146.2,30.8,49.9,23.5,42.0,2021,Hard
Casper Ruud,146.0,28.3,50.8,22.6,44.3,2021,Hard
Holger Rune,145.5,27.5,53.7,21.7,42.6,2021,Hard
Tommy Paul,144.5,31.4,51.0,23.6,38.5,2021,Hard
Alejandro Davidovich Fokina,143.7,28.9,52.6,24.2,38.0,2021,Hard
Frances Tiafoe,142.1,28.0,51.7,22.6,39.8,2021,Hard
Pablo Carreno Busta,141.5,27.6,48.5,21.7,43.7,2021,Hard
Marin Cilic,140.8,28.6,50.1,22.6,39.5,2021,Hard
Daniel Evans,137.8,26.7,51.7,20.7,38.7,2021,Hard
Miomir Kecmanovic,137.7,27.4,50.0,20.3,40.0,2021,Hard
Matteo Berrettini,135.8,28.8,45.5,18.5,43.0,2021,Hard
Felix Auger-Aliassime,135.5,30.2,48.5,20.5,36.3,2021,Hard
Hubert Hurkacz,135.2,29.5,49.1,21.3,35.3,2021,Hard
Taylor Fritz,134.6,27.1,49.4,19.9,38.2,2021,Hard
Karen Khachanov,134.6,29.2,50.5,20.3,34.6,2021,Hard
Denis Shapovalov,133.8,26.6,49.3,18.8,39.1,2021,Hard
Borna Coric,128.2,27.5,48.1,17.3,35.3,2021,Hard
Lorenzo Musetti,122.9,27.4,47.9,17.2,30.4,2021,Hard
Nick Kyrgios,94.3,22.5,41.6,8.3,21.9,2021,Hard
Diego Schwartzman,173.9,36.3,54.2,36.0,47.4,2021,Grass
Alejandro Davidovich Fokina,171.0,29.0,52.7,33.3,56.0,2021,Grass
Daniil Medvedev,164.4,28.6,60.5,30.0,45.3,2021,Grass
Carlos Alcaraz,163.7,27.4,57.7,32.4,46.2,2021,Grass
Jannik Sinner,162.6,25.2,53.8,27.3,56.3,2021,Grass
Novak Djokovic,153.9,31.2,55.5,29.1,38.1,2021,Grass
Cameron Norrie,152.9,28.3,52.5,24.6,47.5,2021,Grass
Andrey Rublev,152.2,27.4,56.1,23.4,45.3,2021,Grass
Roberto Bautista Agut,148.1,27.1,56.6,25.0,39.4,2021,Grass
Karen Khachanov,147.1,26.4,50.3,20.4,50.0,2021,Grass
Daniel Evans,146.6,28.2,48.6,19.8,50.0,2021,Grass
Alexander Zverev,146.5,30.4,47.9,24.3,43.9,2021,Grass
Felix Auger-Aliassime,144.3,31.1,52.8,22.9,37.5,2021,Grass
Alex de Minaur,143.6,30.8,51.8,22.8,38.2,2021,Grass
Matteo Berrettini,137.4,30.1,47.3,22.6,37.4,2021,Grass
Nick Kyrgios,136.7,26.3,48.7,20.0,41.7,2021,Grass
Hubert Hurkacz,135.5,24.5,52.3,18.7,40.0,2021,Grass
Denis Shapovalov,134.4,29.2,49.5,21.6,34.1,2021,Grass
Marin Cilic,128.4,30.9,49.3,18.2,30.0,2021,Grass
Casper Ruud,124.5,23.4,47.7,18.9,34.5,2021,Grass
Taylor Fritz,119.8,23.0,45.8,15.5,35.5,2021,Grass
Miomir Kecmanovic,118.1,27.6,47.9,15.3,27.3,2021,Grass
Frances Tiafoe,117.8,22.9,50.0,13.3,31.6,2021,Grass
Pablo Carreno Busta,110.8,23.1,45.7,12.0,30.0,2021,Grass
Grigor Dimitrov,101.7,21.3,47.1,11.1,22.2,2021,Grass
Stefanos Tsitsipas,64.6,31.3,33.3,0.0,0.0,2021,Grass
Lorenzo Musetti,54.0,14.0,40.0,0.0,0.0,2021,Grass
Rafael Nadal,217.0,46.9,58.0,50.4,61.7,2020,Clay
Francisco Cerundolo,196.4,37.3,48.3,30.8,80.0,2020,Clay
Diego Schwartzman,189.0,38.8,58.6,42.4,49.2,2020,Clay
Roberto Bautista Agut,188.0,40.8,56.4,43.6,47.2,2020,Clay
Novak Djokovic,182.3,41.5,56.6,40.4,43.8,2020,Clay
Jannik Sinner,181.0,38.9,53.3,36.9,51.9,2020,Clay
Alex de Minaur,172.1,38.8,53.3,34.5,45.5,2020,Clay
Andrey Rublev,170.1,34.7,53.7,33.0,48.7,2020,Clay
Lorenzo Musetti,169.3,35.7,52.5,32.3,48.8,2020,Clay
Karen Khachanov,165.5,33.3,52.3,29.9,50.0,2020,Clay
Grigor Dimitrov,165.3,37.7,53.8,34.1,39.7,2020,Clay
Daniel Evans,162.8,33.3,50.0,29.5,50.0,2020,Clay
Denis Shapovalov,162.7,37.4,52.3,34.8,38.2,2020,Clay
Cameron Norrie,159.3,36.9,55.2,30.4,36.8,2020,Clay
Pablo Carreno Busta,158.8,40.0,48.1,34.1,36.6,2020,Clay
Stefanos Tsitsipas,158.8,32.5,53.2,28.3,44.8,2020,Clay
Hubert Hurkacz,154.2,31.0,50.0,25.7,47.5,2020,Clay
